Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GLDS-375_rna-seq_GC9-1R_S12_L002_R1_raw	GLDS-375_rna-seq_GC9-1R_S12_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35553622.0	0.0	151.0	50.0	32.05460217600179	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC9-1R_S12_L002_R2_raw	GLDS-375_rna-seq_GC9-1R_S12_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35553622.0	0.0	151.0	50.0	36.33900086795977	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC9-1S_S11_L002_R1_raw	GLDS-375_rna-seq_GC9-1S_S11_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21745892.0	0.0	151.0	45.0	24.815201047075334	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC9-1S_S11_L002_R2_raw	GLDS-375_rna-seq_GC9-1S_S11_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21745892.0	0.0	151.0	45.0	28.899291081152	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_Plantctrl_rep1_R1_raw	GLDS-375_rna-seq_Plantctrl_rep1_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135297176.0	0.0	101.0	43.0	20.68408542334117	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_Plantctrl_rep1_R2_raw	GLDS-375_rna-seq_Plantctrl_rep1_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135297176.0	0.0	101.0	43.0	21.52263187437433	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_Plantctrl_rep2_R1_raw	GLDS-375_rna-seq_Plantctrl_rep2_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149117257.0	0.0	101.0	43.0	19.91325737553511	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_Plantctrl_rep2_R2_raw	GLDS-375_rna-seq_Plantctrl_rep2_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149117257.0	0.0	101.0	43.0	20.704096602067267	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_Plantctrl_rep3_R1_raw	GLDS-375_rna-seq_Plantctrl_rep3_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177116058.0	0.0	101.0	47.0	15.095115224553302	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
GLDS-375_rna-seq_Plantctrl_rep3_R2_raw	GLDS-375_rna-seq_Plantctrl_rep3_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177116058.0	0.0	101.0	47.0	16.65730812551141	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
